expression                                            	plurality 	Yago4          	manifestation              	modifiers                 	vagueness
The Chicxulub crater                                  	instance  	Place          	determined named           	MODIFIERS                 	NOT_VAGUE
an impact crater                                      	instance  	Place          	undetermined               	noun                      	NOT_VAGUE
the Yucatán Peninsula in Mexico                       	instance  	Place          	determined named           	preposition               	NOT_VAGUE
Its center                                            	instance  	Place          	qualified_anaphora         	MODIFIERS                 	NOT_VAGUE
the town of Chicxulub                                 	instance  	Place          	determined contains_named  	preposition               	NOT_VAGUE
the crater                                            	instance  	Place          	determined anaphora        	MODIFIERS                 	NOT_VAGUE
a large asteroid                                      	instance  	Product        	undetermined               	adjective                 	NOT_VAGUE
the Chicxulub impactor                                	instance  	Product        	determined contains_named  	MODIFIERS                 	NOT_VAGUE
the Earth                                             	instance  	Place          	determined named           	MODIFIERS                 	NOT_VAGUE
The date of the impact                                	instance  	Event          	determined                 	preposition               	NOT_VAGUE
the Cretaceous–Paleogene boundary                     	instance  	Event          	determined contains_named  	MODIFIERS                 	NOT_VAGUE
"the K–Pg boundary"                                   	instance  	Event          	determined contains_named  	MODIFIERS                 	NOT_VAGUE
66 million years                                      	class     	Event          	numbered                   	MODIFIERS                 	NOT_VAGUE
a widely accepted theory                              	instance  	CreativeWork   	undetermined               	adjective                 	degree
worldwide climate disruption from the event           	instance  	Intangible     	mass_noun                  	adjective preposition noun	subjective
the cause of the Cretaceous–Paleogene extinction event	instance  	Action         	determined contains_named  	preposition noun          	NOT_VAGUE
a mass extinction                                     	instance  	Event          	undetermined               	noun                      	degree
75% of plant and animal species on Earth              	class     	Taxon          	undetermined contains_named	preposition               	NOT_VAGUE
all non-avian dinosaurs                               	class     	Taxon          	undetermined               	adjective                 	NOT_VAGUE
The crater                                            	instance  	Place          	determined anaphora        	MODIFIERS                 	NOT_VAGUE
the continental crust of the region                   	instance  	Place          	determined mass_noun       	adjective preposition     	NOT_VAGUE
the second largest confirmed impact structure on Earth	instance  	Product        	determined                 	adjective preposition noun	NOT_VAGUE
peak ring                                             	instance  	Place          	mass_noun                  	noun                      	NOT_VAGUE
scientific research                                   	instance  	CreativeWork   	mass_noun                  	adjective                 	portions
Antonio Camargo                                       	instance  	Person         	named                      	MODIFIERS                 	NOT_VAGUE
Glen Penfield                                         	instance  	Person         	named                      	MODIFIERS                 	NOT_VAGUE
geophysicists                                         	class     	Person         	undetermined               	MODIFIERS                 	portions
petroleum                                             	instance  	product        	undetermined mass_noun     	modifiers                 	not_vague
the Yucatán Peninsula                                 	class     	Place          	determined named           	preposition               	NOT_VAGUE
Penfield                                              	instance  	Person         	named                      	MODIFIERS                 	NOT_VAGUE
evidence                                              	instance  	CreativeWork   	mass_noun                  	MODIFIERS                 	subjective
the geological feature                                	instance  	CreativeWork   	determined anaphora        	adjective                 	not_vague
a crater                                              	instance  	Place          	undetermined anaphora      	MODIFIERS                 	NOT_VAGUE
his search                                            	instance  	CreativeWork   	qualified_anaphora         	MODIFIERS                 	NOT_VAGUE
Alan Hildebrand                                       	instance  	Person         	named                      	preposition               	NOT_VAGUE
samples                                               	class     	Product        	undetermined               	MODIFIERS                 	portions
an impact feature                                     	instance  	Product        	undetermined               	noun                      	NOT_VAGUE
Evidence for the impact origin of the crater          	class     	CreativeWork   	mass_noun                  	preposition noun          	NOT_VAGUE
shocked quartz                                        	instance  	Product        	mass_noun                  	MODIFIERS                 	not_vague
a gravity anomaly                                     	instance  	Intangible     	undetermined               	noun                      	degree
tektites in surrounding areas                         	class     	Product        	undetermined               	preposition               	NOT_VAGUE
a scientific drilling project                         	instance  	CreativeWork   	undetermined               	adjective noun            	NOT_VAGUE
the peak ring of the impact crater                    	instance  	Place          	determined                 	preposition noun          	NOT_VAGUE
hundreds of meters below the current sea floor        	class     	Place          	numbered                   	preposition               	degree
rock core samples                                     	class     	Product        	undetermined               	preposition noun          	portions
The discoveries                                       	class     	CreativeWork   	determined                 	MODIFIERS                 	NOT_VAGUE
the impact itself                                     	instance  	Place          	determined                 	MODIFIERS                 	NOT_VAGUE
current theories                                      	class     	CreativeWork   	undetermined               	adjective                 	portions
the crater impact                                     	instance  	Place          	determined                 	noun                      	NOT_VAGUE
its effects                                           	class     	Action         	qualified_anaphora         	MODIFIERS                 	NOT_VAGUE
A 2020 study                                          	instance  	CreativeWork   	undetermined numbered      	MODIFIERS                 	NOT_VAGUE
an inclined impact from the northeast                 	instance  	Event          	undetermined mass_noun     	preposition adjective     	NOT_VAGUE
